Position,ReadCount,Source,ts,leader5
132,7.0,5RACE,AT3G18910.1,191
133,8675.0,5RACE,AT3G18910.1,191
134,22.0,5RACE,AT3G18910.1,191
135,11.0,5RACE,AT3G18910.1,191
136,3675.0,5RACE,AT3G18910.1,191
137,14.0,5RACE,AT3G18910.1,191
138,45.0,5RACE,AT3G18910.1,191
139,30984.0,5RACE,AT3G18910.1,191
140,77.0,5RACE,AT3G18910.1,191
141,30.0,5RACE,AT3G18910.1,191
142,118.0,5RACE,AT3G18910.1,191
143,17.0,5RACE,AT3G18910.1,191
144,95.0,5RACE,AT3G18910.1,191
145,30.0,5RACE,AT3G18910.1,191
146,55.0,5RACE,AT3G18910.1,191
147,2.0,5RACE,AT3G18910.1,191
148,10.0,5RACE,AT3G18910.1,191
149,3879.0,5RACE,AT3G18910.1,191
150,19.0,5RACE,AT3G18910.1,191
151,59.0,5RACE,AT3G18910.1,191
152,11547.0,5RACE,AT3G18910.1,191
153,90.0,5RACE,AT3G18910.1,191
154,42.0,5RACE,AT3G18910.1,191
155,9850.0,5RACE,AT3G18910.1,191
156,27753.0,5RACE,AT3G18910.1,191
157,64.0,5RACE,AT3G18910.1,191
158,113.0,5RACE,AT3G18910.1,191
159,26395.0,5RACE,AT3G18910.1,191
160,157.0,5RACE,AT3G18910.1,191
161,1483.0,5RACE,AT3G18910.1,191
162,23909.0,5RACE,AT3G18910.1,191
163,218.0,5RACE,AT3G18910.1,191
164,36.0,5RACE,AT3G18910.1,191
165,19968.0,5RACE,AT3G18910.1,191
166,85.0,5RACE,AT3G18910.1,191
167,20652.0,5RACE,AT3G18910.1,191
168,1849.0,5RACE,AT3G18910.1,191
169,44.0,5RACE,AT3G18910.1,191
170,154.0,5RACE,AT3G18910.1,191
171,23.0,5RACE,AT3G18910.1,191
172,113.0,5RACE,AT3G18910.1,191
173,47.0,5RACE,AT3G18910.1,191
174,53.0,5RACE,AT3G18910.1,191
175,15475.0,5RACE,AT3G18910.1,191
176,130.0,5RACE,AT3G18910.1,191
177,109.0,5RACE,AT3G18910.1,191
178,15719.0,5RACE,AT3G18910.1,191
179,52.0,5RACE,AT3G18910.1,191
180,59.0,5RACE,AT3G18910.1,191
181,15.0,5RACE,AT3G18910.1,191
1,0.0,5leaderP,AT3G18910.1,191
2,0.0,5leaderP,AT3G18910.1,191
3,0.0,5leaderP,AT3G18910.1,191
4,0.0,5leaderP,AT3G18910.1,191
5,0.0,5leaderP,AT3G18910.1,191
6,0.0,5leaderP,AT3G18910.1,191
7,0.0,5leaderP,AT3G18910.1,191
8,0.0,5leaderP,AT3G18910.1,191
9,0.0,5leaderP,AT3G18910.1,191
10,0.0,5leaderP,AT3G18910.1,191
11,0.0,5leaderP,AT3G18910.1,191
12,0.0,5leaderP,AT3G18910.1,191
13,0.0,5leaderP,AT3G18910.1,191
14,0.0,5leaderP,AT3G18910.1,191
15,0.0,5leaderP,AT3G18910.1,191
16,0.0,5leaderP,AT3G18910.1,191
17,0.0,5leaderP,AT3G18910.1,191
18,0.0,5leaderP,AT3G18910.1,191
19,0.0,5leaderP,AT3G18910.1,191
20,0.0,5leaderP,AT3G18910.1,191
21,0.0,5leaderP,AT3G18910.1,191
22,0.0,5leaderP,AT3G18910.1,191
23,0.0,5leaderP,AT3G18910.1,191
24,0.0,5leaderP,AT3G18910.1,191
25,0.0,5leaderP,AT3G18910.1,191
26,0.0,5leaderP,AT3G18910.1,191
27,0.0,5leaderP,AT3G18910.1,191
28,0.0,5leaderP,AT3G18910.1,191
29,0.0,5leaderP,AT3G18910.1,191
30,0.0,5leaderP,AT3G18910.1,191
31,0.0,5leaderP,AT3G18910.1,191
32,0.0,5leaderP,AT3G18910.1,191
33,0.0,5leaderP,AT3G18910.1,191
34,0.0,5leaderP,AT3G18910.1,191
35,0.0,5leaderP,AT3G18910.1,191
36,0.0,5leaderP,AT3G18910.1,191
37,0.0,5leaderP,AT3G18910.1,191
38,0.0,5leaderP,AT3G18910.1,191
39,0.0,5leaderP,AT3G18910.1,191
40,0.0,5leaderP,AT3G18910.1,191
41,0.0,5leaderP,AT3G18910.1,191
42,0.0,5leaderP,AT3G18910.1,191
43,0.0,5leaderP,AT3G18910.1,191
44,0.0,5leaderP,AT3G18910.1,191
45,0.0,5leaderP,AT3G18910.1,191
46,0.0,5leaderP,AT3G18910.1,191
47,0.0,5leaderP,AT3G18910.1,191
48,0.0,5leaderP,AT3G18910.1,191
49,0.0,5leaderP,AT3G18910.1,191
50,0.0,5leaderP,AT3G18910.1,191
51,0.0,5leaderP,AT3G18910.1,191
52,0.0,5leaderP,AT3G18910.1,191
53,0.0,5leaderP,AT3G18910.1,191
54,0.0,5leaderP,AT3G18910.1,191
55,0.0,5leaderP,AT3G18910.1,191
56,0.0,5leaderP,AT3G18910.1,191
57,0.0,5leaderP,AT3G18910.1,191
58,0.0,5leaderP,AT3G18910.1,191
59,0.0,5leaderP,AT3G18910.1,191
60,0.0,5leaderP,AT3G18910.1,191
61,0.0,5leaderP,AT3G18910.1,191
62,0.0,5leaderP,AT3G18910.1,191
63,0.0,5leaderP,AT3G18910.1,191
64,0.0,5leaderP,AT3G18910.1,191
65,0.0,5leaderP,AT3G18910.1,191
66,0.0,5leaderP,AT3G18910.1,191
67,0.0,5leaderP,AT3G18910.1,191
68,0.0,5leaderP,AT3G18910.1,191
69,0.0,5leaderP,AT3G18910.1,191
70,0.0,5leaderP,AT3G18910.1,191
71,0.0,5leaderP,AT3G18910.1,191
72,0.0,5leaderP,AT3G18910.1,191
73,0.0,5leaderP,AT3G18910.1,191
74,0.0,5leaderP,AT3G18910.1,191
75,0.0,5leaderP,AT3G18910.1,191
76,0.0,5leaderP,AT3G18910.1,191
77,0.0,5leaderP,AT3G18910.1,191
78,0.0,5leaderP,AT3G18910.1,191
79,0.0,5leaderP,AT3G18910.1,191
80,0.0,5leaderP,AT3G18910.1,191
81,0.0,5leaderP,AT3G18910.1,191
82,0.0,5leaderP,AT3G18910.1,191
83,0.0,5leaderP,AT3G18910.1,191
84,0.0,5leaderP,AT3G18910.1,191
85,0.0,5leaderP,AT3G18910.1,191
86,0.0,5leaderP,AT3G18910.1,191
87,0.0,5leaderP,AT3G18910.1,191
88,0.0,5leaderP,AT3G18910.1,191
89,0.0,5leaderP,AT3G18910.1,191
90,0.0,5leaderP,AT3G18910.1,191
91,0.0,5leaderP,AT3G18910.1,191
92,0.0,5leaderP,AT3G18910.1,191
93,0.0,5leaderP,AT3G18910.1,191
94,0.0,5leaderP,AT3G18910.1,191
95,0.0,5leaderP,AT3G18910.1,191
96,0.0,5leaderP,AT3G18910.1,191
97,0.0,5leaderP,AT3G18910.1,191
98,0.0,5leaderP,AT3G18910.1,191
99,0.0,5leaderP,AT3G18910.1,191
100,0.0,5leaderP,AT3G18910.1,191
101,0.0,5leaderP,AT3G18910.1,191
102,0.0,5leaderP,AT3G18910.1,191
103,0.0,5leaderP,AT3G18910.1,191
104,0.0,5leaderP,AT3G18910.1,191
105,0.0,5leaderP,AT3G18910.1,191
106,0.0,5leaderP,AT3G18910.1,191
107,0.0,5leaderP,AT3G18910.1,191
108,0.0,5leaderP,AT3G18910.1,191
109,0.0,5leaderP,AT3G18910.1,191
110,0.0,5leaderP,AT3G18910.1,191
111,0.0,5leaderP,AT3G18910.1,191
112,0.0,5leaderP,AT3G18910.1,191
113,0.0,5leaderP,AT3G18910.1,191
114,0.0,5leaderP,AT3G18910.1,191
115,0.0,5leaderP,AT3G18910.1,191
116,0.0,5leaderP,AT3G18910.1,191
117,0.0,5leaderP,AT3G18910.1,191
118,0.0,5leaderP,AT3G18910.1,191
119,0.0,5leaderP,AT3G18910.1,191
120,0.0,5leaderP,AT3G18910.1,191
121,0.0,5leaderP,AT3G18910.1,191
122,0.0,5leaderP,AT3G18910.1,191
123,0.0,5leaderP,AT3G18910.1,191
124,0.0,5leaderP,AT3G18910.1,191
125,0.0,5leaderP,AT3G18910.1,191
126,0.0,5leaderP,AT3G18910.1,191
127,0.0,5leaderP,AT3G18910.1,191
128,0.0,5leaderP,AT3G18910.1,191
129,0.0,5leaderP,AT3G18910.1,191
130,3098.4,5leaderP,AT3G18910.1,191
131,0.0,5leaderP,AT3G18910.1,191
132,0.0,5leaderP,AT3G18910.1,191
133,0.0,5leaderP,AT3G18910.1,191
134,0.0,5leaderP,AT3G18910.1,191
135,0.0,5leaderP,AT3G18910.1,191
136,0.0,5leaderP,AT3G18910.1,191
137,0.0,5leaderP,AT3G18910.1,191
138,0.0,5leaderP,AT3G18910.1,191
139,0.0,5leaderP,AT3G18910.1,191
140,0.0,5leaderP,AT3G18910.1,191
141,0.0,5leaderP,AT3G18910.1,191
142,0.0,5leaderP,AT3G18910.1,191
143,0.0,5leaderP,AT3G18910.1,191
144,0.0,5leaderP,AT3G18910.1,191
145,0.0,5leaderP,AT3G18910.1,191
146,0.0,5leaderP,AT3G18910.1,191
147,0.0,5leaderP,AT3G18910.1,191
148,0.0,5leaderP,AT3G18910.1,191
149,0.0,5leaderP,AT3G18910.1,191
150,0.0,5leaderP,AT3G18910.1,191
151,0.0,5leaderP,AT3G18910.1,191
152,0.0,5leaderP,AT3G18910.1,191
153,0.0,5leaderP,AT3G18910.1,191
154,0.0,5leaderP,AT3G18910.1,191
155,15492.0,5leaderP,AT3G18910.1,191
156,0.0,5leaderP,AT3G18910.1,191
157,0.0,5leaderP,AT3G18910.1,191
158,0.0,5leaderP,AT3G18910.1,191
159,0.0,5leaderP,AT3G18910.1,191
160,0.0,5leaderP,AT3G18910.1,191
161,0.0,5leaderP,AT3G18910.1,191
162,0.0,5leaderP,AT3G18910.1,191
163,0.0,5leaderP,AT3G18910.1,191
164,0.0,5leaderP,AT3G18910.1,191
165,0.0,5leaderP,AT3G18910.1,191
166,0.0,5leaderP,AT3G18910.1,191
167,0.0,5leaderP,AT3G18910.1,191
168,0.0,5leaderP,AT3G18910.1,191
169,0.0,5leaderP,AT3G18910.1,191
170,0.0,5leaderP,AT3G18910.1,191
171,0.0,5leaderP,AT3G18910.1,191
172,0.0,5leaderP,AT3G18910.1,191
173,0.0,5leaderP,AT3G18910.1,191
174,0.0,5leaderP,AT3G18910.1,191
175,0.0,5leaderP,AT3G18910.1,191
176,0.0,5leaderP,AT3G18910.1,191
177,0.0,5leaderP,AT3G18910.1,191
178,0.0,5leaderP,AT3G18910.1,191
179,0.0,5leaderP,AT3G18910.1,191
180,3098.4,5leaderP,AT3G18910.1,191
