Position,ReadCount,Source,ts,leader5
129,6.0,5RACE,Os10g13914.1,350
130,4803.0,5RACE,Os10g13914.1,350
131,7.0,5RACE,Os10g13914.1,350
132,5.0,5RACE,Os10g13914.1,350
133,112.0,5RACE,Os10g13914.1,350
134,1.0,5RACE,Os10g13914.1,350
135,6.0,5RACE,Os10g13914.1,350
136,3.0,5RACE,Os10g13914.1,350
137,6.0,5RACE,Os10g13914.1,350
138,1.0,5RACE,Os10g13914.1,350
144,1.0,5RACE,Os10g13914.1,350
151,1.0,5RACE,Os10g13914.1,350
155,225.0,5RACE,Os10g13914.1,350
156,120315.0,5RACE,Os10g13914.1,350
157,154.0,5RACE,Os10g13914.1,350
158,115.0,5RACE,Os10g13914.1,350
159,125.0,5RACE,Os10g13914.1,350
160,150.0,5RACE,Os10g13914.1,350
161,152.0,5RACE,Os10g13914.1,350
162,92.0,5RACE,Os10g13914.1,350
163,319.0,5RACE,Os10g13914.1,350
164,8.0,5RACE,Os10g13914.1,350
165,8.0,5RACE,Os10g13914.1,350
166,2.0,5RACE,Os10g13914.1,350
167,2.0,5RACE,Os10g13914.1,350
168,3.0,5RACE,Os10g13914.1,350
170,234.0,5RACE,Os10g13914.1,350
171,157114.0,5RACE,Os10g13914.1,350
172,279.0,5RACE,Os10g13914.1,350
173,69.0,5RACE,Os10g13914.1,350
174,836.0,5RACE,Os10g13914.1,350
175,166.0,5RACE,Os10g13914.1,350
176,224.0,5RACE,Os10g13914.1,350
177,414.0,5RACE,Os10g13914.1,350
178,97.0,5RACE,Os10g13914.1,350
179,27.0,5RACE,Os10g13914.1,350
180,392.0,5RACE,Os10g13914.1,350
181,275062.0,5RACE,Os10g13914.1,350
182,266.0,5RACE,Os10g13914.1,350
183,857.0,5RACE,Os10g13914.1,350
184,462.0,5RACE,Os10g13914.1,350
185,262.0,5RACE,Os10g13914.1,350
186,1248.0,5RACE,Os10g13914.1,350
187,240.0,5RACE,Os10g13914.1,350
188,4319.0,5RACE,Os10g13914.1,350
189,19.0,5RACE,Os10g13914.1,350
190,10.0,5RACE,Os10g13914.1,350
191,22.0,5RACE,Os10g13914.1,350
192,11.0,5RACE,Os10g13914.1,350
193,16.0,5RACE,Os10g13914.1,350
194,2.0,5RACE,Os10g13914.1,350
195,3.0,5RACE,Os10g13914.1,350
196,4.0,5RACE,Os10g13914.1,350
197,4.0,5RACE,Os10g13914.1,350
198,1.0,5RACE,Os10g13914.1,350
200,2.0,5RACE,Os10g13914.1,350
201,2.0,5RACE,Os10g13914.1,350
203,1.0,5RACE,Os10g13914.1,350
204,1.0,5RACE,Os10g13914.1,350
205,2.0,5RACE,Os10g13914.1,350
207,1.0,5RACE,Os10g13914.1,350
209,2.0,5RACE,Os10g13914.1,350
212,1.0,5RACE,Os10g13914.1,350
217,2.0,5RACE,Os10g13914.1,350
233,3.0,5RACE,Os10g13914.1,350
249,3.0,5RACE,Os10g13914.1,350
260,1.0,5RACE,Os10g13914.1,350
274,1.0,5RACE,Os10g13914.1,350
286,1.0,5RACE,Os10g13914.1,350
296,1.0,5RACE,Os10g13914.1,350
301,378.0,5RACE,Os10g13914.1,350
1,0.0,5leaderP,Os10g13914.1,350
2,0.0,5leaderP,Os10g13914.1,350
3,0.0,5leaderP,Os10g13914.1,350
4,0.0,5leaderP,Os10g13914.1,350
5,0.0,5leaderP,Os10g13914.1,350
6,0.0,5leaderP,Os10g13914.1,350
7,0.0,5leaderP,Os10g13914.1,350
8,0.0,5leaderP,Os10g13914.1,350
9,0.0,5leaderP,Os10g13914.1,350
10,0.0,5leaderP,Os10g13914.1,350
11,0.0,5leaderP,Os10g13914.1,350
12,0.0,5leaderP,Os10g13914.1,350
13,0.0,5leaderP,Os10g13914.1,350
14,0.0,5leaderP,Os10g13914.1,350
15,0.0,5leaderP,Os10g13914.1,350
16,0.0,5leaderP,Os10g13914.1,350
17,0.0,5leaderP,Os10g13914.1,350
18,0.0,5leaderP,Os10g13914.1,350
19,0.0,5leaderP,Os10g13914.1,350
20,0.0,5leaderP,Os10g13914.1,350
21,0.0,5leaderP,Os10g13914.1,350
22,0.0,5leaderP,Os10g13914.1,350
23,0.0,5leaderP,Os10g13914.1,350
24,0.0,5leaderP,Os10g13914.1,350
25,0.0,5leaderP,Os10g13914.1,350
26,0.0,5leaderP,Os10g13914.1,350
27,0.0,5leaderP,Os10g13914.1,350
28,0.0,5leaderP,Os10g13914.1,350
29,0.0,5leaderP,Os10g13914.1,350
30,0.0,5leaderP,Os10g13914.1,350
31,0.0,5leaderP,Os10g13914.1,350
32,0.0,5leaderP,Os10g13914.1,350
33,0.0,5leaderP,Os10g13914.1,350
34,0.0,5leaderP,Os10g13914.1,350
35,0.0,5leaderP,Os10g13914.1,350
36,0.0,5leaderP,Os10g13914.1,350
37,0.0,5leaderP,Os10g13914.1,350
