Position,ReadCount,Source,ts,leader5
152,35.0,5RACE,Os02g48200.1,250
1,0.0,5leaderP,Os02g48200.1,250
2,0.0,5leaderP,Os02g48200.1,250
3,0.0,5leaderP,Os02g48200.1,250
4,0.0,5leaderP,Os02g48200.1,250
5,0.0,5leaderP,Os02g48200.1,250
6,0.0,5leaderP,Os02g48200.1,250
7,0.0,5leaderP,Os02g48200.1,250
8,0.0,5leaderP,Os02g48200.1,250
9,0.0,5leaderP,Os02g48200.1,250
10,0.0,5leaderP,Os02g48200.1,250
11,0.0,5leaderP,Os02g48200.1,250
12,0.0,5leaderP,Os02g48200.1,250
13,0.0,5leaderP,Os02g48200.1,250
14,0.0,5leaderP,Os02g48200.1,250
15,0.0,5leaderP,Os02g48200.1,250
16,0.0,5leaderP,Os02g48200.1,250
17,0.0,5leaderP,Os02g48200.1,250
18,0.0,5leaderP,Os02g48200.1,250
19,0.0,5leaderP,Os02g48200.1,250
20,0.0,5leaderP,Os02g48200.1,250
21,0.0,5leaderP,Os02g48200.1,250
22,0.0,5leaderP,Os02g48200.1,250
23,0.0,5leaderP,Os02g48200.1,250
24,0.0,5leaderP,Os02g48200.1,250
25,0.0,5leaderP,Os02g48200.1,250
26,0.0,5leaderP,Os02g48200.1,250
27,0.0,5leaderP,Os02g48200.1,250
28,0.0,5leaderP,Os02g48200.1,250
29,0.0,5leaderP,Os02g48200.1,250
30,0.0,5leaderP,Os02g48200.1,250
31,0.0,5leaderP,Os02g48200.1,250
32,0.0,5leaderP,Os02g48200.1,250
33,0.0,5leaderP,Os02g48200.1,250
34,0.0,5leaderP,Os02g48200.1,250
35,0.0,5leaderP,Os02g48200.1,250
36,0.0,5leaderP,Os02g48200.1,250
37,0.0,5leaderP,Os02g48200.1,250
38,0.0,5leaderP,Os02g48200.1,250
39,0.0,5leaderP,Os02g48200.1,250
40,0.0,5leaderP,Os02g48200.1,250
41,0.0,5leaderP,Os02g48200.1,250
42,0.0,5leaderP,Os02g48200.1,250
43,0.0,5leaderP,Os02g48200.1,250
44,0.0,5leaderP,Os02g48200.1,250
45,0.0,5leaderP,Os02g48200.1,250
46,0.0,5leaderP,Os02g48200.1,250
47,0.0,5leaderP,Os02g48200.1,250
48,0.0,5leaderP,Os02g48200.1,250
49,0.0,5leaderP,Os02g48200.1,250
50,0.0,5leaderP,Os02g48200.1,250
51,0.0,5leaderP,Os02g48200.1,250
52,0.0,5leaderP,Os02g48200.1,250
53,0.0,5leaderP,Os02g48200.1,250
54,0.0,5leaderP,Os02g48200.1,250
